Year,Month,Humidity,Precipitation,Solar_Radiation,Temperature
2010,NOV,81.94,4.64,19.0,16.31
2010,OCT,77.0,2.9,20.85,16.39
2010,SEP,75.11,0.15,19.41,15.62
2011,APR,75.36,5.64,21.19,17.59
2011,AUG,79.81,1.24,15.21,15.06
2011,DEC,79.02,2.31,20.88,15.79
2011,FEB,56.27,1.27,24.67,18.06
2011,JAN,60.64,0.7,23.39,17.44
2011,JUL,75.77,1.53,17.35,15.51
2011,JUN,80.44,1.27,16.32,16.0
2011,MAR,65.95,2.85,23.47,18.23
2011,MAY,78.51,4.08,19.32,16.72
2011,NOV,83.94,7.53,18.72,16.19
2011,OCT,80.33,6.02,19.44,16.27
2011,SEP,76.76,2.51,18.31,16.09
2012,APR,80.7,10.32,19.41,16.86
2012,AUG,80.14,1.93,17.73,14.86
2012,DEC,82.92,4.78,19.26,16.17
2012,FEB,60.58,0.91,24.11,17.47
2012,JAN,61.79,0.02,25.31,16.28
2012,JUL,83.51,0.98,13.08,14.69
2012,JUN,84.07,1.23,16.34,14.88
2012,MAR,57.58,0.53,24.7,18.6
2012,MAY,85.07,7.54,19.45,15.75
2012,NOV,81.5,5.61,20.06,16.52
2012,OCT,77.49,5.43,21.47,16.41
2012,SEP,74.88,0.11,20.82,15.78
2013,APR,85.59,12.65,20.11,16.69
2013,AUG,79.6,0.78,15.22,14.78
2013,DEC,80.56,2.29,18.49,16.08
2013,FEB,61.5,0.11,24.43,18.26
2013,JAN,73.88,1.59,22.35,16.93
2013,JUL,79.37,0.14,15.09,14.76
2013,JUN,82.53,0.89,14.7,14.86
2013,MAR,73.11,4.65,21.57,18.24
2013,MAY,81.43,1.88,20.19,15.55
2013,NOV,80.35,5.28,18.94,16.54
2013,OCT,70.18,0.6,22.26,16.94
2013,SEP,74.47,0.14,20.12,16.21
2014,APR,78.67,4.1,20.96,17.17
2014,AUG,77.48,2.15,17.41,15.36
2014,DEC,75.91,2.4,20.57,16.59
2014,FEB,69.4,2.56,21.92,17.78
2014,JAN,63.59,0.2,23.42,17.59
2014,JUL,76.77,0.62,15.64,15.58
2014,JUN,78.74,0.26,16.12,15.99
2014,MAR,73.25,5.11,22.39,17.75
2014,MAY,79.1,1.94,18.9,16.47
2014,NOV,81.62,5.63,20.04,16.58
2014,OCT,74.44,3.69,20.38,17.1
2014,SEP,72.52,0.56,19.99,16.12
2015,APR,82.07,10.22,20.52,17.14
2015,AUG,76.3,0.02,17.89,15.53
2015,DEC,84.0,4.32,20.01,16.25
2015,FEB,60.31,1.23,24.81,18.43
2015,JAN,54.26,0.36,24.73,17.4
2015,JUL,81.16,0.51,16.55,15.11
2015,JUN,83.44,1.36,17.0,15.84
2015,MAR,63.3,1.58,23.72,17.93
2015,MAY,84.91,5.18,19.48,16.12
2015,NOV,85.91,8.83,18.47,16.56
2015,OCT,77.85,4.12,20.76,16.95
2015,SEP,68.01,0.15,22.0,16.78
2016,APR,82.79,8.31,19.56,17.49
2016,AUG,77.83,0.04,17.35,14.87
2016,DEC,79.04,0.52,21.11,15.97
2016,FEB,70.99,1.35,23.66,17.11
2016,JAN,81.23,3.08,19.62,16.64
2016,JUL,80.95,0.11,15.26,14.72
2016,JUN,82.77,0.53,15.84,15.07
2016,MAR,74.21,2.19,24.03,18.21
2016,MAY,83.88,3.52,17.21,16.06
2016,NOV,82.5,4.96,18.55,16.27
2016,OCT,70.32,0.3,22.32,16.87
2016,SEP,73.4,0.04,18.91,15.97
2017,APR,77.19,4.12,21.28,17.43
2017,AUG,78.25,0.75,16.99,15.47
2017,DEC,77.16,0.36,22.35,15.75
2017,FEB,70.21,1.23,22.87,17.37
2017,JAN,65.0,0.26,24.51,16.59
2017,JUL,79.97,0.81,15.62,15.54
2017,JUN,79.32,0.02,18.41,15.84
2017,MAR,64.19,0.93,24.36,18.73
2017,MAY,82.15,6.6,19.36,16.21
2017,NOV,84.79,8.02,19.88,15.96
2017,OCT,77.95,3.92,21.67,16.72
2017,SEP,77.11,0.82,19.27,15.98
2018,APR,87.44,15.4,17.84,16.08
2018,AUG,84.84,0.41,16.79,14.04
2018,DEC,84.65,3.18,19.79,15.9
2018,FEB,67.78,0.49,24.17,17.37
2018,JAN,66.07,0.43,22.92,16.58
2018,JUL,87.47,0.21,14.28,13.61
2018,JUN,88.99,2.68,14.97,14.52
2018,MAR,84.09,7.97,18.19,16.37
2018,MAY,88.54,10.97,18.9,15.37
2018,NOV,84.86,3.27,20.48,16.2
2018,OCT,82.63,0.56,20.24,15.69
2018,SEP,81.11,0.37,21.73,14.96
2019,APR,72.31,4.59,22.57,18.69
2019,AUG,74.51,0.11,17.62,16.07
2019,DEC,86.17,8.32,18.87,16.45
2019,FEB,72.28,0.36,23.92,17.13
2019,JAN,77.03,1.18,22.81,16.06
2019,JUL,77.37,0.36,16.85,15.73
2019,JUN,81.56,2.76,14.48,16.33
2019,MAR,63.65,1.15,25.36,18.53
2019,MAY,78.46,5.14,19.58,16.88
2019,NOV,85.2,8.31,19.52,16.52
2019,OCT,82.74,13.86,20.28,16.34
2019,SEP,72.64,1.13,20.33,16.71
2020,APR,86.69,13.24,19.57,16.77
2020,AUG,83.49,1.03,17.0,14.93
2020,DEC,80.9,2.02,21.98,15.6
2020,FEB,81.46,2.29,22.33,16.56
2020,JAN,83.81,3.72,19.17,16.13
2020,JUL,85.09,0.35,15.59,14.22
2020,JUN,86.21,1.53,17.49,14.85
2020,MAR,82.21,5.9,21.18,17.48
2020,MAY,86.2,5.65,19.82,15.72
2020,NOV,85.46,6.95,19.62,16.28
2020,OCT,80.36,3.77,20.66,16.03
2020,SEP,81.31,0.55,19.02,15.29
2021,APR,83.03,5.76,21.21,16.8
2021,AUG,77.03,0.36,17.62,15.11
2021,DEC,84.66,4.52,18.14,15.87
2021,FEB,74.79,2.03,21.83,16.51
2021,JAN,78.18,0.79,22.0,15.71
2021,JUL,82.65,0.06,13.28,14.38
2021,JUN,81.91,0.03,16.17,15.08
2021,MAR,73.99,2.12,23.77,16.85
2021,MAY,84.93,5.84,18.42,15.96
2021,NOV,76.8,4.33,21.1,17.1
2021,OCT,73.67,1.39,20.49,17.05
2021,SEP,74.01,0.58,17.9,16.34
2022,APR,76.84,5.05,20.62,17.23
2022,AUG,79.34,0.11,14.63,14.79
2022,DEC,82.51,1.79,20.23,15.75
2022,FEB,68.72,0.36,23.31,17.57
2022,JAN,71.95,0.9,23.24,16.11
2022,JUL,78.46,0.04,14.3,14.65
2022,JUN,76.57,0.14,16.79,15.31
2022,MAR,67.75,1.63,24.68,17.78
2022,MAY,79.07,1.04,20.15,16.62
2022,NOV,85.43,7.07,17.93,15.79
2022,OCT,74.65,0.64,22.26,15.81
2022,SEP,81.3,1.17,18.29,15.18
2023,APR,86.31,10.38,19.28,16.44
2023,AUG,80.05,0.07,17.79,15.22
2023,DEC,85.65,1.99,20.24,16.44
2023,FEB,64.65,0.0,25.08,17.21
2023,JAN,74.14,0.23,23.46,15.44
2023,JUL,82.47,0.01,15.11,14.96
2023,JUN,84.93,1.45,16.24,15.49
2023,MAR,75.35,3.72,22.27,17.31
2023,MAY,84.93,1.75,19.52,16.08
2023,NOV,88.06,13.75,17.2,16.02
2023,OCT,77.86,3.6,20.98,16.95
2023,SEP,76.56,1.46,19.99,17.02
2024,APR,87.51,21.73,19.36,17.07
2024,AUG,83.75,0.35,15.18,14.95
2024,DEC,83.4,2.11,21.07,16.02
2024,FEB,82.29,2.12,22.77,16.82
2024,JAN,83.44,3.11,20.17,16.28
2024,JUL,86.31,0.78,14.4,15.03
2024,JUN,84.71,0.32,17.98,15.05
2024,MAR,81.92,1.82,23.27,17.5
2024,MAY,87.5,6.63,19.15,16.67
2024,NOV,86.13,7.71,18.68,16.75
2024,OCT,79.96,0.93,21.65,16.32
2024,SEP,80.74,0.07,21.04,15.67
