Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2005","2005","ha","170000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2005","2005","kg/ha","265.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2005","2005","t","45200","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2006","2006","ha","170000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2006","2006","kg/ha","284.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2006","2006","t","48300","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2007","2007","ha","163000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2007","2007","kg/ha","327.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2007","2007","t","53368","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2008","2008","ha","155000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2008","2008","kg/ha","271","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2008","2008","t","42000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2009","2009","ha","160000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2009","2009","kg/ha","337.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2009","2009","t","54000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2010","2010","ha","160000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2010","2010","kg/ha","262.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2010","2010","t","42000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2011","2011","ha","115600","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2011","2011","kg/ha","314","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2011","2011","t","36300","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2012","2012","ha","109795","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2012","2012","kg/ha","446.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2012","2012","t","49000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2013","2013","ha","109800","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2013","2013","kg/ha","362.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2013","2013","t","39800","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2014","2014","ha","110000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2014","2014","kg/ha","450","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2014","2014","t","49500","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2015","2015","ha","113500","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2015","2015","kg/ha","370","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2015","2015","t","42000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2016","2016","ha","114000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2016","2016","kg/ha","404.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2016","2016","t","46100","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2017","2017","ha","114700","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2017","2017","kg/ha","336.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2017","2017","t","38620","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2018","2018","ha","115570","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2018","2018","kg/ha","358","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2018","2018","t","41375","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2019","2019","ha","119600","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2019","2019","kg/ha","372.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2019","2019","t","44500","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2020","2020","ha","119700","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2020","2020","kg/ha","308.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2020","2020","t","36900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2021","2021","ha","108200","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2021","2021","kg/ha","318.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2021","2021","t","34500","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2022","2022","ha","109400","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2022","2022","kg/ha","474.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2022","2022","t","51900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2023","2023","ha","111900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2023","2023","kg/ha","435.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2023","2023","t","48700","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2024","2024","ha","113600","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2024","2024","kg/ha","435.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2024","2024","t","49500","A","Official figure",""
